World Port Index Number,Region Name,Main Port Name,Latitude,Longitude
23140,Norway -- 20620,Vaksdal,60.47833333,5.732777778
23460,Norway -- 20620,Sauda,59.63694444,6.341111111
22520,Norway -- 20620,Ornes,66.86472222,13.70694444
21140,Norway -- 20620,Talvik,70.03333333,22.95
23525,Norway -- 20620,Stusvik,58.00444444,7.034166667
23485,Norway -- 20620,Skudeneshavn,59.14333333,5.258333333
21670,Norway -- 20620,Sortland,68.69694444,15.42194444
23680,Norway -- 20620,Skien,59.19972222,9.603611111
20930,Norway -- 20620,Sorvaer,70.62722222,21.96472222
21870,Norway -- 20620,Stamsund,68.12111111,13.84888889
22350,Norway -- 20620,Rognan,67.10861111,15.39777778
23500,Norway -- 20620,Rekefjord,58.32583333,6.258333333
23487,Norway -- 20620,Tananger,58.93,5.570833333
23330,Norway -- 20620,Sagvag,59.77166667,5.378888889
24280,Sweden -- 23860,Simrishamn,55.55833333,14.35805556
62840,Russia -- 62530,Rabocheostrovsk,64.99166667,34.79527778
62810,Russia -- 62530,Severodvinsk,64.57722222,39.77305556
62910,Russia -- 62530,Ostrovnoy Gremikha,68.05833333,39.52555556
62670,Russia -- 62530,Tiksi,71.64444444,128.8905556
62635,Russia -- 62530,Port Beringovsky,63.06305556,179.3675
62695,Russia -- 62530,Port Dikson,73.50638889,80.50611111
62640,Russia -- 62530,Provideniya,64.42111111,-173.2275
24250,Sweden -- 23860,Trelleborg,55.36,13.15055556
20500,Canada North Coast -- 20490,Coppermine,67.83,-115.0963889
23670,Norway -- 20620,Porsgrunn,59.14722222,9.653888889
1340,Labrador -- 1230,Goose Bay,53.366667,-60.3
24020,Sweden -- 23860,Goteborg,57.70972222,11.95472222
1470,Newfoundland  E Coast -- 1410,Baie Verte,49.91666667,-56.2
1420,Newfoundland  E Coast -- 1410,St Anthony,51.36666667,-55.56666667
1591,Newfoundland  E Coast -- 1410,Carmanville,49.4,-54.26666667
1090,Hudson Bay -- 1070,Churchill,58.78333333,-94.2
1500,Newfoundland  E Coast -- 1410,Springdale,49.5,-56.06666667
1450,Newfoundland  E Coast -- 1410,Roddickton,50.86666667,-56.13333333
1560,Newfoundland  E Coast -- 1410,Lewisporte,49.25,-55.05
1150, ,Deception Bay,62.15,-74.68333333
1260, ,Nain,56.55,-61.68333333
1540,Newfoundland  E Coast -- 1410,Botwood,49.13333333,-55.33333333
1570,Newfoundland  E Coast -- 1410,Twillingate,49.65,-54.76666667
29670,Lolland -- 29650,Bandholm,54.833333,11.5
28930,Germany -- 28826,Kiel,54.316667,10.133333
29555,Sjaelland -- 29150,Naestved,55.233333,11.75
29700,Lolland -- 29650,Nakskov,54.833333,11.133333
28848,Germany -- 28826,Stralsund,54.316667,13.1
29530,Sjaelland -- 29150,Skaelskor,55.25,11.3
940,Greenland  West Coast -- 545,Kajalleq Upernavik,72.15,-55.533333
